date,total_cases,total_deaths,new_deaths,population,hospital_beds_per_thousand
24-02-20,1,,,1701583,2
25-02-20,23,,,1701583,2
26-02-20,33,,,1701583,2
27-02-20,33,,,1701583,2
28-02-20,36,,,1701583,2
29-02-20,41,,,1701583,2
01-03-20,47,,,1701583,2
02-03-20,49,,,1701583,2
03-03-20,49,,,1701583,2
04-03-20,52,,,1701583,2
05-03-20,55,,,1701583,2
06-03-20,60,,,1701583,2
07-03-20,85,,,1701583,2
08-03-20,85,,,1701583,2
09-03-20,95,,,1701583,2
10-03-20,110,,,1701583,2
11-03-20,195,,,1701583,2
12-03-20,195,,,1701583,2
13-03-20,195,,,1701583,2
14-03-20,210,,,1701583,2
15-03-20,214,,,1701583,2
16-03-20,214,1,,1701583,2
17-03-20,228,1,0,1701583,2
18-03-20,256,1,0,1701583,2
19-03-20,278,1,0,1701583,2
20-03-20,285,1,0,1701583,2
21-03-20,305,1,0,1701583,2
22-03-20,334,2,1,1701583,2
23-03-20,377,2,0,1701583,2
24-03-20,392,3,1,1701583,2
25-03-20,419,4,1,1701583,2
26-03-20,458,4,0,1701583,2
27-03-20,466,4,0,1701583,2
28-03-20,476,4,0,1701583,2
29-03-20,499,4,0,1701583,2
30-03-20,515,4,0,1701583,2
31-03-20,567,4,0,1701583,2
01-04-20,569,4,0,1701583,2
02-04-20,643,4,0,1701583,2
03-04-20,672,4,0,1701583,2
04-04-20,688,4,0,1701583,2
05-04-20,700,4,0,1701583,2
06-04-20,756,4,0,1701583,2
07-04-20,811,5,1,1701583,2
08-04-20,823,5,0,1701583,2
09-04-20,887,5,0,1701583,2
10-04-20,925,6,1,1701583,2
11-04-20,1040,6,0,1701583,2
12-04-20,1136,6,0,1701583,2
13-04-20,1361,6,0,1701583,2
14-04-20,1528,7,1,1701583,2
15-04-20,1671,7,0,1701583,2
16-04-20,1700,7,0,1701583,2
17-04-20,1740,7,0,1701583,2
18-04-20,1773,7,0,1701583,2
19-04-20,1881,7,0,1701583,2
20-04-20,1907,7,0,1701583,2
21-04-20,1973,7,0,1701583,2
22-04-20,2027,7,0,1701583,2
23-04-20,2217,8,1,1701583,2
24-04-20,2518,8,0,1701583,2
25-04-20,2588,8,0,1701583,2
26-04-20,2647,8,0,1701583,2
27-04-20,2723,8,0,1701583,2
28-04-20,2811,8,0,1701583,2
29-04-20,2921,8,0,1701583,2
30-04-20,3040,8,0,1701583,2
01-05-20,3170,8,0,1701583,2
02-05-20,3284,8,0,1701583,2
03-05-20,3383,8,0,1701583,2
04-05-20,3533,8,0,1701583,2
05-05-20,3720,8,0,1701583,2
06-05-20,3934,8,0,1701583,2
07-05-20,4199,8,0,1701583,2
08-05-20,4444,8,0,1701583,2
09-05-20,4774,8,0,1701583,2
10-05-20,4941,8,0,1701583,2
11-05-20,5236,8,0,1701583,2
12-05-20,5531,9,1,1701583,2
13-05-20,5816,10,1,1701583,2
14-05-20,6198,10,0,1701583,2
15-05-20,6583,12,2,1701583,2
16-05-20,6747,12,0,1701583,2
17-05-20,6956,12,0,1701583,2
18-05-20,7184,12,0,1701583,2
19-05-20,7532,12,0,1701583,2
20-05-20,7888,12,0,1701583,2
21-05-20,8174,12,0,1701583,2
22-05-20,8414,12,0,1701583,2
23-05-20,8802,13,1,1701583,2
24-05-20,9138,14,1,1701583,2
25-05-20,9171,14,0,1701583,2
26-05-20,9366,14,0,1701583,2
27-05-20,9692,15,1,1701583,2
28-05-20,10052,15,0,1701583,2
29-05-20,10449,15,0,1701583,2
30-05-20,10793,17,2,1701583,2
31-05-20,11398,19,2,1701583,2
01-06-20,11871,19,0,1701583,2
02-06-20,12311,19,0,1701583,2
03-06-20,12815,20,1,1701583,2
04-06-20,13296,21,1,1701583,2
05-06-20,13835,22,1,1701583,2
06-06-20,14383,24,2,1701583,2
07-06-20,14763,26,2,1701583,2
08-06-20,15417,27,1,1701583,2
09-06-20,15731,29,2,1701583,2
10-06-20,16200,31,2,1701583,2
11-06-20,16667,34,3,1701583,2
12-06-20,17269,36,2,1701583,2
13-06-20,17713,37,1,1701583,2
14-06-20,18227,42,5,1701583,2
15-06-20,19013,46,4,1701583,2
16-06-20,19553,47,1,1701583,2
17-06-20,19961,49,2,1701583,2
18-06-20,20430,55,6,1701583,2
19-06-20,20916,57,2,1701583,2
20-06-20,21331,60,3,1701583,2
21-06-20,21764,63,3,1701583,2
22-06-20,22407,65,2,1701583,2
23-06-20,23062,67,2,1701583,2
24-06-20,23570,69,2,1701583,2
25-06-20,24081,71,2,1701583,2
26-06-20,24805,73,2,1701583,2
27-06-20,25267,78,5,1701583,2
28-06-20,25705,83,5,1701583,2
29-06-20,26239,84,1,1701583,2
30-06-20,26758,87,3,1701583,2
01-07-20,27414,92,5,1701583,2
02-07-20,27837,94,2,1701583,2
03-07-20,28410,95,1,1701583,2
04-07-20,28857,96,1,1701583,2
05-07-20,29367,97,1,1701583,2
06-07-20,29821,98,1,1701583,2
07-07-20,30321,98,0,1701583,2
08-07-20,30931,98,0,1701583,2
09-07-20,31528,103,5,1701583,2
10-07-20,32039,104,1,1701583,2
11-07-20,32470,104,0,1701583,2
12-07-20,32941,108,4,1701583,2
13-07-20,33476,109,1,1701583,2
14-07-20,34078,111,2,1701583,2
15-07-20,34560,117,6,1701583,2
16-07-20,35084,121,4,1701583,2
17-07-20,35473,124,3,1701583,2
18-07-20,36004,124,0,1701583,2
19-07-20,36422,126,2,1701583,2
20-07-20,36936,128,2,1701583,2
21-07-20,37316,129,1,1701583,2
22-07-20,37637,130,1,1701583,2
23-07-20,37996,134,4,1701583,2
24-07-20,38458,136,2,1701583,2
25-07-20,38747,137,1,1701583,2
26-07-20,39131,140,3,1701583,2
27-07-20,39482,141,1,1701583,2
28-07-20,39921,141,0,1701583,2
29-07-20,40311,144,3,1701583,2
30-07-20,40755,146,2,1701583,2
31-07-20,40982,147,1,1701583,2
01-08-20,41190,147,0,1701583,2
02-08-20,41536,147,0,1701583,2
03-08-20,41835,150,3,1701583,2
04-08-20,42132,151,1,1701583,2
05-08-20,42514,154,3,1701583,2
06-08-20,42889,156,2,1701583,2
07-08-20,43307,159,3,1701583,2
08-08-20,43629,161,2,1701583,2
09-08-20,44011,162,1,1701583,2
10-08-20,44397,163,1,1701583,2
11-08-20,44804,165,2,1701583,2
12-08-20,45264,166,1,1701583,2
13-08-20,45726,167,1,1701583,2
14-08-20,46052,168,1,1701583,2
15-08-20,46430,170,2,1701583,2
16-08-20,46835,170,0,1701583,2
17-08-20,47185,173,3,1701583,2
18-08-20,47581,175,2,1701583,2
19-08-20,47950,178,3,1701583,2
20-08-20,48303,179,1,1701583,2
21-08-20,48661,181,2,1701583,2
22-08-20,49038,183,2,1701583,2
23-08-20,49330,184,1,1701583,2
24-08-20,49719,185,1,1701583,2
25-08-20,50076,186,1,1701583,2
26-08-20,50393,186,0,1701583,2
27-08-20,50756,188,2,1701583,2
28-08-20,51113,189,1,1701583,2
29-08-20,51391,189,0,1701583,2
30-08-20,51574,189,0,1701583,2
31-08-20,51972,190,1,1701583,2
01-09-20,52440,190,0,1701583,2
02-09-20,52807,190,0,1701583,2
03-09-20,53433,190,0,1701583,2
04-09-20,54095,195,5,1701583,2
05-09-20,54771,196,1,1701583,2
06-09-20,55415,199,3,1701583,2
07-09-20,56076,200,1,1701583,2
08-09-20,56778,202,2,1701583,2
09-09-20,57450,203,1,1701583,2
10-09-20,58207,207,4,1701583,2
11-09-20,58839,208,1,1701583,2
12-09-20,59586,211,3,1701583,2
13-09-20,60307,212,1,1701583,2
14-09-20,60965,213,1,1701583,2
15-09-20,61643,213,0,1701583,2
16-09-20,62484,216,3,1701583,2
17-09-20,63189,217,1,1701583,2
18-09-20,63879,220,3,1701583,2
19-09-20,64499,221,1,1701583,2
20-09-20,65039,221,0,1701583,2
21-09-20,65752,224,3,1701583,2
22-09-20,66402,227,3,1701583,2
23-09-20,67014,231,4,1701583,2
24-09-20,67701,231,0,1701583,2
25-09-20,68190,236,5,1701583,2
26-09-20,68775,239,3,1701583,2
27-09-20,69361,242,3,1701583,2
28-09-20,69848,245,3,1701583,2
29-09-20,70422,246,1,1701583,2
30-09-20,70864,251,5,1701583,2
01-10-20,71374,254,3,1701583,2
02-10-20,71803,255,1,1701583,2
03-10-20,72310,258,3,1701583,2
04-10-20,72662,260,2,1701583,2
05-10-20,73116,261,1,1701583,2
06-10-20,73476,262,1,1701583,2
07-10-20,73932,262,0,1701583,2
08-10-20,74422,264,2,1701583,2
09-10-20,74860,271,7,1701583,2
10-10-20,75287,273,2,1701583,2
11-10-20,75614,275,2,1701583,2
12-10-20,75948,280,5,1701583,2
13-10-20,76272,285,5,1701583,2
14-10-20,76621,287,2,1701583,2
15-10-20,76954,289,2,1701583,2
16-10-20,77325,292,3,1701583,2
17-10-20,77571,293,1,1701583,2
18-10-20,77902,300,7,1701583,2
19-10-20,78224,302,2,1701583,2
20-10-20,78533,305,3,1701583,2
21-10-20,78907,308,3,1701583,2
22-10-20,79211,308,0,1701583,2
23-10-20,79574,311,3,1701583,2
24-10-20,79975,312,1,1701583,2
25-10-20,80255,312,0,1701583,2
26-10-20,80533,316,4,1701583,2
27-10-20,80765,316,0,1701583,2
28-10-20,81022,317,1,1701583,2
29-10-20,81262,317,0,1701583,2
30-10-20,81466,319,2,1701583,2
31-10-20,81645,321,2,1701583,2
01-11-20,81923,321,0,1701583,2
02-11-20,82133,322,1,1701583,2
03-11-20,82363,324,2,1701583,2
04-11-20,82624,327,3,1701583,2
05-11-20,82786,328,1,1701583,2
06-11-20,83023,328,0,1701583,2
07-11-20,83264,329,1,1701583,2
08-11-20,83456,329,0,1701583,2
09-11-20,83632,329,0,1701583,2
10-11-20,83811,331,2,1701583,2
11-11-20,84042,332,1,1701583,2
12-11-20,84192,332,0,1701583,2
13-11-20,84349,332,0,1701583,2
14-11-20,84523,333,1,1701583,2
15-11-20,84703,334,1,1701583,2
16-11-20,84882,337,3,1701583,2
17-11-20,85008,337,0,1701583,2
18-11-20,85182,337,0,1701583,2
19-11-20,85317,337,0,1701583,2
20-11-20,85467,338,1,1701583,2
21-11-20,85591,338,0,1701583,2
22-11-20,85705,338,0,1701583,2
23-11-20,85886,339,1,1701583,2
24-11-20,86016,340,1,1701583,2
25-11-20,86185,340,0,1701583,2
26-11-20,86347,341,1,1701583,2
27-11-20,86515,341,0,1701583,2
28-11-20,86645,341,0,1701583,2
29-11-20,86787,341,0,1701583,2
30-11-20,86956,341,0,1701583,2
01-12-20,87137,341,0,1701583,2
02-12-20,87270,341,0,1701583,2
03-12-20,87432,341,0,1701583,2
04-12-20,87600,341,0,1701583,2
05-12-20,87732,341,0,1701583,2
06-12-20,87930,341,0,1701583,2
07-12-20,88111,341,0,1701583,2
08-12-20,88294,343,2,1701583,2
09-12-20,88495,347,4,1701583,2
10-12-20,88632,347,0,1701583,2
11-12-20,88820,347,0,1701583,2
12-12-20,88965,348,1,1701583,2
13-12-20,89143,348,0,1701583,2
14-12-20,89268,348,0,1701583,2
15-12-20,89444,348,0,1701583,2
16-12-20,89600,349,1,1701583,2
