date,total_cases,total_deaths,population,hospital_beds_per_thousand
12/31/2019,0,0,1701583,2
1/1/2020,0,0,1701583,2
1/2/2020,0,0,1701583,2
1/3/2020,0,0,1701583,2
1/4/2020,0,0,1701583,2
1/5/2020,0,0,1701583,2
1/6/2020,0,0,1701583,2
1/7/2020,0,0,1701583,2
1/8/2020,0,0,1701583,2
1/9/2020,0,0,1701583,2
1/10/2020,0,0,1701583,2
1/11/2020,0,0,1701583,2
1/12/2020,0,0,1701583,2
1/13/2020,0,0,1701583,2
1/14/2020,0,0,1701583,2
1/15/2020,0,0,1701583,2
1/16/2020,0,0,1701583,2
1/17/2020,0,0,1701583,2
1/18/2020,0,0,1701583,2
1/19/2020,0,0,1701583,2
1/20/2020,0,0,1701583,2
1/21/2020,0,0,1701583,2
1/22/2020,0,0,1701583,2
1/23/2020,0,0,1701583,2
1/24/2020,0,0,1701583,2
1/25/2020,0,0,1701583,2
1/26/2020,0,0,1701583,2
1/27/2020,0,0,1701583,2
1/28/2020,0,0,1701583,2
1/29/2020,0,0,1701583,2
1/30/2020,0,0,1701583,2
1/31/2020,0,0,1701583,2
2/1/2020,0,0,1701583,2
2/2/2020,0,0,1701583,2
2/3/2020,0,0,1701583,2
2/4/2020,0,0,1701583,2
2/5/2020,0,0,1701583,2
2/6/2020,0,0,1701583,2
2/7/2020,0,0,1701583,2
2/8/2020,0,0,1701583,2
2/9/2020,0,0,1701583,2
2/10/2020,0,0,1701583,2
2/11/2020,0,0,1701583,2
2/12/2020,0,0,1701583,2
2/13/2020,0,0,1701583,2
2/14/2020,0,0,1701583,2
2/15/2020,0,0,1701583,2
2/16/2020,0,0,1701583,2
2/17/2020,0,0,1701583,2
2/18/2020,0,0,1701583,2
2/19/2020,0,0,1701583,2
2/20/2020,0,0,1701583,2
2/21/2020,0,0,1701583,2
2/22/2020,0,0,1701583,2
2/23/2020,0,0,1701583,2
2/24/2020,1,0,1701583,2
2/25/2020,2,0,1701583,2
2/26/2020,23,0,1701583,2
2/27/2020,33,0,1701583,2
2/28/2020,33,0,1701583,2
2/29/2020,38,0,1701583,2
3/1/2020,41,0,1701583,2
3/2/2020,47,0,1701583,2
3/4/2020,49,0,1701583,2
3/5/2020,52,0,1701583,2
3/6/2020,52,0,1701583,2
3/7/2020,56,0,1701583,2
3/8/2020,63,0,1701583,2
3/9/2020,79,0,1701583,2
3/10/2020,109,0,1701583,2
3/11/2020,110,0,1701583,2
3/12/2020,162,0,1701583,2
3/13/2020,162,0,1701583,2
3/14/2020,210,0,1701583,2
3/15/2020,211,0,1701583,2
3/16/2020,214,0,1701583,2
3/17/2020,221,1,1701583,2
3/18/2020,237,1,1701583,2
3/19/2020,256,1,1701583,2
3/20/2020,269,1,1701583,2
3/21/2020,285,1,1701583,2
3/22/2020,306,1,1701583,2
3/23/2020,334,2,1701583,2
3/24/2020,339,2,1701583,2
3/25/2020,390,3,1701583,2
3/26/2020,419,3,1701583,2
3/27/2020,458,4,1701583,2
3/28/2020,466,4,1701583,2
3/29/2020,473,4,1701583,2
3/30/2020,500,4,1701583,2
3/31/2020,515,4,1701583,2
4/1/2020,567,4,1701583,2
